TimeInSeconds,FrameTimeMs,FPS
0.00000,10.32,96.91
0.01032,9.43,106.01
0.01975,9.48,105.51
0.02923,9.66,103.47
0.03889,8.00,124.95
0.04690,8.79,113.83
0.05568,8.84,113.17
0.06452,9.55,104.68
0.07407,9.53,104.99
0.08360,10.18,98.23
0.09378,11.06,90.40
0.10484,9.77,102.34
0.11461,9.42,106.13
0.12403,10.28,97.28
0.13431,8.44,118.51
0.14275,9.02,110.80
0.15178,8.68,115.23
0.16045,9.67,103.41
0.17012,8.65,115.66
0.17877,9.78,102.22
0.18855,10.87,91.96
0.19943,9.54,104.80
0.20897,9.25,108.09
0.21822,9.74,102.66
0.22796,10.96,91.25
0.23892,7.62,131.27
0.24654,9.61,104.08
0.25615,8.44,118.48
0.26459,8.58,116.57
0.27316,8.79,113.75
0.28195,9.35,107.00
0.29130,9.74,102.68
0.30104,9.52,105.04
0.31056,10.84,92.26
0.32140,9.36,106.89
0.33075,9.85,101.52
0.34060,8.26,121.11
0.34886,9.23,108.33
0.35809,9.13,109.47
0.36723,8.35,119.77
0.37558,9.85,101.52
0.38543,9.36,106.80
0.39479,9.42,106.16
0.40421,9.38,106.64
0.41359,9.77,102.40
0.42335,8.07,123.95
0.43142,9.02,110.89
0.44044,9.34,107.06
0.44978,9.69,103.24
0.45947,9.32,107.33
0.46878,9.48,105.54
0.47826,10.34,96.71
0.48860,9.42,106.20
0.49801,9.02,110.81
0.50704,8.87,112.71
0.51591,8.89,112.51
0.52480,8.97,111.48
0.53377,9.48,105.48
0.54325,9.32,107.28
0.55257,9.33,107.14
0.56191,8.83,113.26
0.57074,8.89,112.55
0.57962,8.61,116.20
0.58823,8.96,111.64
0.59718,8.60,116.23
0.60579,8.05,124.30
0.61383,10.16,98.39
0.62400,9.37,106.77
0.63336,9.57,104.47
0.64293,9.48,105.47
0.65242,9.23,108.30
0.66165,9.25,108.11
0.67090,8.15,122.71
0.67905,9.42,106.19
0.68846,8.93,111.99
0.69739,8.54,117.09
0.70594,8.29,120.65
0.71422,9.90,101.04
0.72412,8.82,113.44
0.73294,8.80,113.60
0.74174,9.23,108.31
0.75097,9.75,102.58
0.76072,9.38,106.65
0.77010,8.13,122.95
0.77823,9.83,101.77
0.78806,8.71,114.85
0.79676,7.82,127.93
0.80458,8.97,111.47
0.81355,9.11,109.78
0.82266,9.92,100.77
0.83258,9.51,105.18
0.84209,9.84,101.62
0.85193,10.44,95.81
0.86237,9.26,108.00
0.87163,9.53,104.88
0.88116,7.93,126.12
0.88909,9.14,109.40
0.89823,9.30,107.54
0.90753,9.00,111.15
0.91653,8.79,113.73
0.92532,8.69,115.11
0.93401,9.49,105.33
0.94350,8.81,113.46
0.95232,9.92,100.85
0.96223,8.84,113.17
0.97107,10.61,94.25
0.98168,9.58,104.42
0.99125,8.73,114.52
0.99999,8.36,119.59
1.00835,8.64,115.68
1.01699,8.87,112.79
1.02586,7.84,127.51
1.03370,8.32,120.13
1.04203,9.38,106.62
1.05140,9.60,104.13
1.06101,9.19,108.81
1.07020,7.77,128.70
1.07797,9.69,103.25
1.08765,8.50,117.63
1.09615,8.36,119.57
1.10452,9.01,110.99
1.11353,8.48,117.93
1.12201,8.81,113.54
1.13081,9.08,110.13
1.13989,9.13,109.49
1.14903,9.73,102.76
1.15876,10.01,99.88
1.16877,10.11,98.93
1.17888,9.85,101.52
1.18873,8.34,119.97
1.19706,9.42,106.14
1.20649,8.30,120.45
1.21479,9.87,101.30
1.22466,9.09,110.01
1.23375,9.85,101.57
1.24360,8.39,119.17
1.25199,9.29,107.64
1.26128,8.57,116.68
1.26985,9.64,103.79
1.27948,8.03,124.60
1.28751,8.40,119.12
1.29590,9.33,107.17
1.30523,8.97,111.44
1.31421,10.22,97.81
1.32443,9.28,107.72
1.33371,8.66,115.46
1.34238,9.42,106.13
1.35180,10.25,97.58
1.36204,8.93,111.97
1.37098,8.82,113.37
1.37980,8.45,118.33
1.38825,8.62,115.96
1.39687,8.58,116.50
1.40545,10.46,95.59
1.41592,10.36,96.57
1.42627,9.70,103.14
1.43597,9.73,102.79
1.44570,8.96,111.57
1.45466,9.33,107.17
1.46399,8.09,123.57
1.47208,9.43,106.03
1.48151,8.59,116.47
1.49010,9.17,109.04
1.49927,9.31,107.45
1.50858,9.83,101.68
1.51841,8.60,116.33
1.52701,9.84,101.62
1.53685,8.73,114.58
1.54558,10.21,97.97
1.55578,8.96,111.56
1.56475,8.02,124.63
1.57277,10.04,99.65
1.58281,8.98,111.41
1.59178,8.87,112.74
1.60065,10.42,96.00
1.61107,9.89,101.11
1.62096,9.03,110.79
